id,category,title,body,amenities,bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,price_per_sqft,title_length,description_length,comparison_group_size,local_median_price,local_mean_price,local_price_std,rent_difference_from_median,rent_to_local_median_ratio,rent_percentage_difference,local_rent_zscore,local_q1_price,local_q3_price,local_price_iqr,lower_iqr_boundary,upper_iqr_boundary,statistical_outlier,prediction
5668626895,housing/rent/apartment,"Studio apartment 2nd St NE, Uhland Terrace NE, Washington, DC 20002","This unit is located at second St NE, Uhland Terrace NE, Washington, DC 20002, Washington, 20002, DCMonthly rental rates range from $790 - $1090We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,790,101,Washington,DC,38.9057,-76.9861,RentLingo,7.821782178217822,67,183,17,1495.0,1352.0588235294117,396.131050062387,-705.0,0.5284280936454849,-47.15719063545151,-1.4188709101215182,990.0,1675.0,685.0,-37.5,2702.5,0,Unusual
5668626833,housing/rent/apartment,"Studio apartment N Scott St, 14th St N, Arlington, VA 22209","This unit is located at N Scott St, 14th St N, Arlington, VA 22209, Arlington, 22209, VAMonthly rental rates range from $1390We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,1390,107,Arlington,VA,38.891,-77.0816,RentLingo,12.990654205607475,59,164,11,1599.0,1585.7272727272727,282.19535464252084,-209.0,0.8692933083176986,-13.070669168230143,-0.6935878621220252,1538.0,1735.5,197.5,1241.75,2031.75,0,Unusual
5659918074,housing/rent/apartment,Studio apartment 1717 12th Ave,"This unit is located at 1717 12th Ave, Seattle, 98122, WAMonthly rental rates range from $925We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,925,116,Seattle,WA,47.616,-122.3275,RentLingo,7.974137931034483,30,132,10,1222.5,1208.3,128.55526265211998,-297.5,0.7566462167689162,-24.335378323108383,-2.203721529212154,1161.25,1299.0,137.75,954.625,1505.625,1,Unusual
5668626759,housing/rent/apartment,"Studio apartment Washington Blvd, N Cleveland St, Arlington","This unit is located at Washington Blvd, N Cleveland St, Arlington, Arlington, 22201, VAMonthly rental rates range from $880We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,880,125,Arlington,VA,38.8738,-77.1055,RentLingo,7.04,59,163,11,1599.0,1585.7272727272727,282.19535464252084,-719.0,0.5503439649781113,-44.96560350218887,-2.5008465274748173,1538.0,1735.5,197.5,1241.75,2031.75,1,Unusual
5667891676,housing/rent/apartment,0 BR in New York NY 10019,"**RARE GEM WITH PRIVATE OUTDOOR TERRACE****AVAILABLE IMMEDIATELY** $2475 RENT IS NET EFFECTIVE WITH one month FREE ON $2700 Monthly rent***Low Fee*UNFURNISHED Spacious and Sunny Southern facing studio (403 sq-ft) with big private terrace (130 sq. feet) basks in natural sunlight all day long, facing the scenic landscaped and peaceful residents ct. yard. The apartment features hard wood floors throughout, a carousel kitchen with new appliances and two big closets. Laundry on floor steps away.Worldwide Plaza is a full-service condo that pampers its residents with concierge and 24-hr attendant at door services, a live-in resident manager, a scenic landscaped court yard and lounge, valet service, 8 laundry rooms (washer and dryers are permitted within the residences), on-site garage and a separate full-service health club (NYSC ELITE) equipped with a 25 meter salt water pool, immersive VR spin cycling room, sauna, steam room, etc.","Dishwasher,Elevator,Patio/Deck,Pool,Storage",1.0,0.0,Thumbnail,Unknown,2475,130,Manhattan,NY,40.7629,-73.9885,Listanza,19.03846153846154,25,939,2,2562.5,2562.5,123.74368670764582,-87.5,0.9658536585365852,-3.414634146341464,-0.7071067811865475,2518.75,2606.25,87.5,2387.5,2737.5,0,Unusual
5668627426,housing/rent/apartment,Studio apartment 2432 Penmar Ave,"This unit is located at 2432 Penmar Ave, Venice, 90291, CAMonthly rental rates range from $1800We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,1800,132,Venice,CA,33.9932,-118.4609,RentLingo,13.636363636363637,32,134,1,1800.0,1800.0,0.0,0.0,1.0,0.0,0.0,1800.0,1800.0,0.0,1800.0,1800.0,0,Unusual
5668626687,housing/rent/apartment,"Studio apartment Oak St NW, 16th St NW, Washington, DC 20010","This unit is located at Oak St NW, 16th St NW, Washington, DC 20010, Washington, 20010, DCMonthly rental rates range from $840We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,840,136,Washington,DC,38.9328,-77.0297,RentLingo,6.176470588235294,60,165,17,1495.0,1352.0588235294117,396.131050062387,-655.0,0.5618729096989966,-43.812709030100336,-1.2926500546946955,990.0,1675.0,685.0,-37.5,2702.5,0,Unusual
5668610290,housing/rent/apartment,Studio apartment 333 Hyde St,"This unit is located at 333 Hyde St, San Francisco, 94109, CAMonthly rental rates range from $1495We have studio units available for rent Apartment features include:-- On Bus Line- Refrigerator",Refrigerator,1.0,0.0,Thumbnail,Unknown,1495,138,San Francisco,CA,37.7599,-122.4379,RentLingo,10.833333333333334,28,193,18,2245.0,2456.6666666666665,1090.9682693396185,-750.0,0.6659242761692651,-33.4075723830735,-0.8814799602272388,2045.0,2645.0,600.0,1145.0,3545.0,0,Unusual
5668627023,housing/rent/apartment,"Studio apartment A St SE, 19th St SE, Washington","This unit is located at A St SE, 19th St SE, Washington, Washington, 20003, DCMonthly rental rates range from $890We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,890,141,Washington,DC,38.9118,-77.0132,RentLingo,6.3120567375886525,48,153,17,1495.0,1352.0588235294117,396.131050062387,-605.0,0.5953177257525084,-40.468227424749166,-1.1664291992678728,990.0,1675.0,685.0,-37.5,2702.5,0,Unusual
5668627099,housing/rent/apartment,"Studio apartment 15th St SE, Independence Ave SE, Washington DC","This unit is located at 15th St SE, Independence Ave SE, Washington DC, Washington, 20003, DCMonthly rental rates range from $990 - $1190We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,990,146,Washington,DC,38.9118,-77.0132,RentLingo,6.780821917808219,63,176,17,1495.0,1352.0588235294117,396.131050062387,-505.0,0.6622073578595318,-33.77926421404682,-0.9139874884142276,990.0,1675.0,685.0,-37.5,2702.5,0,Unusual
5668626548,housing/rent/apartment,"Studio apartment Arkansas Ave NW, Varnum St NW, Washington","This unit is located at Arkansas Ave NW, Varnum St NW, Washington, Washington, 20011, DCMonthly rental rates range from $840 - $890We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,840,150,Washington,DC,38.9118,-77.0132,RentLingo,5.6,58,170,17,1495.0,1352.0588235294117,396.131050062387,-655.0,0.5618729096989966,-43.812709030100336,-1.2926500546946955,990.0,1675.0,685.0,-37.5,2702.5,0,Unusual
5664598162,housing/rent/apartment,Studio apartment 2326 N 6th Avenue,"This unit is located at 2326 N sixth Avenue, Tucson, 85705, AZMonthly rental rates range from $465 - $1795We have studio - 1 beds units available for rent",Unknown,1.0,1.0,Thumbnail,"Cats,Dogs",1795,156,Tucson,AZ,32.2264,-110.9438,RentLingo,11.506410256410255,34,154,16,660.0,774.75,310.1112703530783,1135.0,2.7196969696969697,171.96969696969697,3.28994814938003,588.75,851.25,262.5,195.0,1245.0,1,Unusual
5668626900,housing/rent/apartment,"Studio apartment Salem Ln NW, 45th St NW, Washington","This unit is located at Salem Ln NW, 45th St NW, Washington, Washington, 20007, DCMonthly rental rates range from $1090We have studio units available for rent",Unknown,1.0,0.0,Thumbnail,Unknown,1090,178,Washington,DC,38.9118,-77.0132,RentLingo,6.123595505617978,52,158,17,1495.0,1352.0588235294117,396.131050062387,-405.0,0.7290969899665551,-27.09030100334448,-0.6615457775605822,990.0,1675.0,685.0,-37.5,2702.5,0,Unusual
5664571820,housing/rent/apartment,Studio apartment 57 Taylor Street,"This unit is located at 57 Taylor Street, San Francisco, 94102, CAMonthly rental rates range from $1695We have studio units available for rent Apartment available amenities:-- Hard wood floors- Public Transportation- Freezer- Living Room- Range / Oven- Bath Bath-tub- On-Site Laundry- Refrigerator",Refrigerator,1.0,0.0,Thumbnail,Unknown,1695,190,San Francisco,CA,37.7599,-122.4379,RentLingo,8.921052631578947,33,297,18,2245.0,2456.6666666666665,1090.9682693396185,-550.0,0.755011135857461,-24.4988864142539,-0.6981565716184543,2045.0,2645.0,600.0,1145.0,3545.0,0,Unusual
5664577209,housing/rent/apartment,One BR Union Hills,"This unit is located at Union Hills, Phoenix, 85027, AZMonthly rental rates range from $450We have 1 beds units available for rent Apartment available amenities:-- Furnished- Pool",Pool,1.0,1.0,Thumbnail,Unknown,450,200,Phoenix,AZ,33.5178,-112.0848,RentLingo,2.25,18,179,31,1040.0,991.3548387096774,258.07241211038644,-590.0,0.4326923076923077,-56.730769230769226,-2.0976858172586126,839.0,1150.0,311.0,372.5,1616.5,0,Unusual
5668624017,housing/rent/apartment,One BR Arballo Dr 12d,"This unit is located at Arballo Dr 12d, San Francisco, 94132, CAMonthly rental rates range from $1400We have 1 beds units available for rent Apartment features include:-- Furnished",Unknown,1.0,1.0,Thumbnail,Unknown,1400,219,San Francisco,CA,37.7599,-122.4379,RentLingo,6.392694063926941,21,180,57,3495.0,3518.3859649122805,810.4773230807078,-2095.0,0.4005722460658083,-59.94277539341917,-2.613751063213067,3095.0,3895.0,800.0,1895.0,5095.0,1,Unusual
5668612110,housing/rent/apartment,Studio apartment 925 Geary Street,"This unit is located at 925 Geary Street, San Francisco, 94109, CAMonthly rental rates range from $1695We have studio units available for rent Apartment features include:-- On-Site Laundry- Refrigerator- In-Unit Laundry- Dishwasher- On Bus Line","Dishwasher,Refrigerator",1.0,0.0,Thumbnail,"Cats,Dogs",1695,232,San Francisco,CA,37.7599,-122.4379,RentLingo,7.306034482758621,33,244,18,2245.0,2456.6666666666665,1090.9682693396185,-550.0,0.755011135857461,-24.4988864142539,-0.6981565716184543,2045.0,2645.0,600.0,1145.0,3545.0,0,Unusual
5653561496,housing/rent/apartment,One BR Via Marina,"This unit is located at Via Marina, Marina Del Rey, 90292, CAMonthly rental rates range from $1600We have 1 beds units available for rent Apartment available amenities:-- Pool- Furnished",Pool,1.0,1.0,Thumbnail,Unknown,1600,250,Marina Del Rey,CA,33.9855,-118.4532,RentLingo,6.4,17,186,5,2607.0,2519.8,590.2437632029668,-1007.0,0.6137322593018796,-38.62677406981204,-1.5583392105808818,2366.0,2891.0,525.0,1578.5,3678.5,0,Unusual
